experiment,temp_C,time_min,MR_best_model,MR_unified_midilli,Deff_1_m2s,Deff_2_m2s,Ea_1_kJmol,Ea_2_kJmol,drying_time_total_min,slice_mm,DR_per_min
T45,45,32.0,0.472733,0.472733,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.009639000000000009
T45,45,33.0,0.463316,0.463316,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.009417000000000009
T45,45,34.0,0.454114,0.454114,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.009201999999999988
T45,45,35.0,0.445118,0.445118,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.008996000000000004
T45,45,36.0,0.436323,0.436323,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.008794999999999997
T45,45,37.0,0.427721,0.427721,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.008601999999999999
T45,45,38.0,0.419307,0.419307,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.008414000000000033
T45,45,39.0,0.411074,0.411074,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.00823299999999999
T45,45,40.0,0.403016,0.403016,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.00805800000000001
T45,45,41.0,0.395129,0.395129,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.007886999999999977
T45,45,42.0,0.387408,0.387408,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.007721000000000033
T45,45,43.0,0.379846,0.379846,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.007561999999999958
T45,45,44.0,0.37244,0.37244,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.007406000000000024
T45,45,45.0,0.365185,0.365185,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.0072550000000000114
T45,45,46.0,0.358077,0.358077,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.007108000000000003
T45,45,47.0,0.351111,0.351111,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.006965999999999972
T45,45,48.0,0.344284,0.344284,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.0068270000000000275
T45,45,49.0,0.337592,0.337592,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.006691999999999976
T45,45,50.0,0.331031,0.331031,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.0065609999999999835
T45,45,51.0,0.324597,0.324597,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.006433999999999995
T45,45,52.0,0.318287,0.318287,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.006310000000000038
T45,45,53.0,0.312098,0.312098,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.006189
T45,45,54.0,0.306027,0.306027,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.006070999999999993
T45,45,55.0,0.30007,0.30007,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.00595699999999999
T45,45,56.0,0.294225,0.294225,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.005844999999999989
T45,45,57.0,0.288489,0.288489,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.005736000000000019
T45,45,58.0,0.282859,0.282859,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.005629999999999968
T45,45,59.0,0.277332,0.277332,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.005527000000000004
T45,45,60.0,0.271906,0.271906,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.005426000000000042
T45,45,61.0,0.266579,0.266579,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.005326999999999971
T45,45,62.0,0.261347,0.261347,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.005232000000000014
T45,45,63.0,0.256209,0.256209,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.005137999999999976
T45,45,64.0,0.251163,0.251163,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.005045999999999995
T45,45,65.0,0.246206,0.246206,8.72e-09,1.801e-08,31.26,17.75,150,2.0,0.004957000000000017
